timestamp,cpu_percent,memory_percent,disk_usage
2025-06-08 15:42:01,9.4,41.0,93
2025-06-08 15:42:32,12.8,40.8,93
2025-06-08 15:43:02,13.7,41.0,93
2025-06-08 15:43:32,8.7,40.5,93
2025-06-08 15:44:02,7.7,40.8,93
2025-06-08 15:44:33,8.2,40.7,93
2025-06-08 15:45:03,8.7,40.7,93
2025-06-08 15:45:33,9.0,40.6,93
2025-06-08 15:46:03,6.5,40.5,93
2025-06-08 15:46:33,9.4,41.5,93
2025-06-08 15:47:04,10.2,40.9,93
2025-06-08 15:47:34,13.5,41.1,93
2025-06-08 15:48:04,11.0,41.0,93
2025-06-08 15:48:34,8.8,41.2,93
2025-06-08 15:49:05,12.0,41.5,93
2025-06-08 15:49:35,10.3,41.0,93
2025-06-08 15:50:05,12.0,41.1,93
2025-06-08 15:50:35,10.1,41.4,93
2025-06-08 15:51:05,10.2,41.2,93
2025-06-08 15:51:36,8.9,41.5,93
2025-06-08 15:52:06,10.9,41.4,93
2025-06-08 15:52:36,8.3,40.9,93
2025-06-08 15:53:06,9.8,41.2,93
2025-06-08 15:53:37,9.5,41.0,93
2025-06-08 15:54:07,10.1,40.9,93
2025-06-08 15:54:37,10.2,41.6,93
2025-06-08 15:55:07,9.2,41.3,93
2025-06-08 15:55:37,8.4,40.8,93
2025-06-08 15:56:08,10.1,41.2,93
2025-06-08 15:56:38,9.0,41.2,93
2025-06-08 15:57:08,10.9,41.0,93
2025-06-08 15:57:38,10.8,41.2,93
2025-06-08 15:58:08,26.2,41.1,93
2025-06-08 15:58:39,9.7,41.3,93
2025-06-08 15:59:09,9.5,41.2,93
2025-06-08 15:59:39,9.0,41.5,93
2025-06-08 16:00:09,14.2,42.4,93
2025-06-08 16:00:40,10.1,41.4,93
2025-06-08 16:01:10,7.7,41.2,93
2025-06-08 16:01:40,7.7,40.8,93
2025-06-08 16:02:10,12.1,41.3,93
2025-06-08 16:02:40,10.5,41.2,93
2025-06-08 16:03:11,8.5,41.2,93
2025-06-08 16:03:41,11.3,41.2,93
2025-06-08 16:04:11,10.6,40.9,93
2025-06-08 16:04:41,9.5,41.9,93
2025-06-08 16:05:12,10.8,40.9,93
2025-06-08 16:05:42,10.2,41.3,93
2025-06-08 16:06:12,8.5,41.4,93
2025-06-08 16:06:42,7.2,39.2,93
2025-06-08 16:07:12,8.9,39.3,93
2025-06-08 16:07:43,14.2,39.2,93
2025-06-08 16:08:13,12.0,39.9,93
2025-06-08 16:08:43,16.6,38.2,93
2025-06-08 16:09:13,16.8,39.0,93
2025-06-08 16:09:44,8.4,37.4,93
2025-06-08 16:10:14,8.1,38.1,93
2025-06-08 16:10:44,7.0,37.2,93
2025-06-08 16:11:14,11.9,38.5,93
2025-06-08 16:11:44,9.5,38.5,93
2025-06-08 16:12:15,8.4,39.7,93
2025-06-08 16:12:45,14.4,38.6,93
2025-06-08 16:13:15,10.2,39.3,93
2025-06-08 16:13:45,9.5,38.1,93
2025-06-08 16:14:16,7.8,38.4,93
2025-06-08 16:14:46,8.3,38.3,93
2025-06-08 16:15:16,8.2,39.1,93
